,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,title,authors,n_citation,doi,url,pdf,conf,fos,year,pool,topic,labels
0,0,0,0,12.0,Revisiting Frank-Wolfe: Projection-Free Sparse Convex Optimization,Martin Jaggi,502,,,,International Conference on Machine Learning,Mathematical optimization=0.45817 ; Computer science=0.41727 ; Sparse approximation=0.60855 ; Frank–Wolfe algorithm=0.62255 ; Subderivative=0.62172 ; Conic optimization=0.63485 ; Proper convex function=0.62652 ; Convex optimization=0.63697 ; Convex analysis=0.66416 ; Linear matrix inequality=0.61853 ; ,2013,A,None,mo
1,1,1,1,30.0,Interactive storytelling: a player modelling approach,David ThueVadim Bulitko ; Marcia Spetch ; Eric Wasylishen ; ,134,,,,National Conference on Artificial Intelligence,Entertainment=0.49793 ; Computer science=0.44003 ; Human–computer interaction=0.47156 ; Interactive storytelling=0.6652 ; Multimedia=0.46448 ; ,2007,C,None,ml
2,2,2,2,53.0,Knowledge compilation using horn approximations,Bart SelmanHenry Kautz ; ,143,,,,National Conference on Artificial Intelligence,Knowledge representation and reasoning=0.55433 ; Computer science=0.46117 ; Inference=0.5723 ; Correctness=0.51865 ; Formal description=0.0 ; Theoretical computer science=0.46712 ; Knowledge compilation=0.56198 ; Artificial intelligence=0.0 ; Completeness (statistics)=0.48596 ; Expressive power=0.0 ; Machine learning=0.45074 ; Speedup=0.43755 ; ,1991,C,AI,ml
3,3,3,3,66.0,Solving large-scale constraint satisfaction and scheduling problems using a heuristic repair method,Steven MintonMark D. Johnston ; Andrew B. Philips ; Philip Laird ; ,269,,,,National Conference on Artificial Intelligence,Constraint satisfaction=0.62121 ; Mathematical optimization=0.47529 ; Local consistency=0.60634 ; Heuristic=0.60608 ; Min-conflicts algorithm=0.61565 ; Computer science=0.45599 ; Constraint satisfaction problem=0.61627 ; Theoretical computer science=0.45926 ; Constraint satisfaction dual problem=0.6102 ; Backtracking=0.65562 ; Constraint logic programming=0.60127 ; ,1990,C,None,mo
4,4,4,4,79.0,Regularization of Neural Networks using DropConnect,Li WanMatthew Zeiler ; Sixin Zhang ; Yann Le Cun ; Rob Fergus ; ,1120,,,,International Conference on Machine Learning,Pattern recognition=0.45948 ; Computer science=0.42447 ; Regularization (mathematics)=0.45702 ; Artificial intelligence=0.0 ; Artificial neural network=0.53399 ; Machine learning=0.45263 ; ,2013,A,ML,ml
5,5,5,5,80.0,Hard and easy distributions of SAT problems,David MitchellBart Selman ; Hector Levesque ; ,726,,,,National Conference on Artificial Intelligence,WalkSAT=0.56663 ; Computer science=0.44541 ; Satisfiability=0.52308 ; Algorithm=0.45669 ; ,1992,C,None,mo
6,6,6,6,96.0,Using Eligibility Traces to Find the Best Memoryless Policy in Partially Observable Markov Decision Processes,John LochSatinder P. Singh ; ,113,,,,International Conference on Machine Learning,Mathematical optimization=0.45026 ; Observability=0.52106 ; Markov process=0.50315 ; Computer science=0.43764 ; Markov model=0.50571 ; Partially observable Markov decision process=0.51982 ; Markov decision process=0.5155 ; Artificial intelligence=0.0 ; Variable-order Markov model=0.48251 ; Markov kernel=0.48435 ; Machine learning=0.43945 ; Reinforcement learning=0.50106 ; ,1998,A,ML,ml
7,7,7,7,111.0,Using incomplete quantitative knowledge in qualitative reasoning,Benjamin KuipersDaniel Berleant ; ,154,,,,National Conference on Artificial Intelligence,Monotonic function=0.44172 ; Incomplete knowledge=0.0 ; Computer simulation=0.41286 ; Qualitative simulation=0.0 ; Computer science=0.4139 ; Ordinal number=0.46092 ; Artificial intelligence=0.0 ; Local propagation=0.0 ; Machine learning=0.42326 ; Qualitative reasoning=0.6659 ; Bounded function=0.46788 ; ,1988,C,ML,ml
8,8,8,8,198.0,Explanation-based indexing of cases,Ralph BarlettaWilliam Mark ; ,105,,,,National Conference on Artificial Intelligence,Semantic reasoner=0.54868 ; Domain knowledge=0.58894 ; Computer science=0.45985 ; Domain theory=0.53426 ; Search engine indexing=0.50148 ; Artificial intelligence=0.46438 ; ,1988,C,AI,ml
9,9,9,9,207.0,The breakout method for escaping from local minima,Paul Morris,304,,,,National Conference on Artificial Intelligence,Mathematical optimization=0.45146 ; Empirical evidence=0.40761 ; Computer science=0.42623 ; Constraint satisfaction problem=0.53959 ; Maxima and minima=0.52041 ; Almost surely=0.45346 ; Limiting=0.0 ; Breakout=0.53903 ; ,1993,C,None,mo
