,Article_ID,Initial value at source,Heat_values
0,399,10,"[ 5.01714909  5.00291181  5.00145554  5.00145554  5.00109158  8.39184547
  5.00728505  5.          5.00473319  5.00728505  8.51869268  5.00109158
  5.00837939  5.00473319  5.00145554  5.00728505  5.00728505  5.00837939
  5.00109158  5.00837939  5.00837939  5.00837939  5.00291181  5.00145554
  8.43311953  5.00473319  5.00764978  5.00291181  5.          5.01129967
  5.00837939  5.00764978  5.00145554  5.00473319  7.81472382  5.
  5.00145554  5.00145554  5.00109158  5.00728505 10.          5.01129967
  5.00109158  5.00109158  5.00145554  5.00145554  5.00728505  5.
  5.00473319  5.00837939  5.01129967  5.00764978  5.00764978  5.01129967
  5.00837939  5.00145554  5.00473319  5.00145554  7.96327033  5.01129967
  5.00291181  5.01129967  5.00291181  5.00291181  5.00728505  5.
  5.01129967  8.90713507  5.          5.00473319  5.00764978  5.
  5.00764978  5.0834013   5.01129967  5.00291181  8.12815437  5.00728505
  5.00109158  5.00109158  7.73247563  5.00291181  5.00291181  5.00764978
  5.00764978  5.00109158  7.84324144  5.01129967  5.00473319]"
1,5558,10,"[ 5.21588873  5.10467392  7.42220312  5.09163062 10.          5.10685402
  5.15304966  5.17309151  7.25950774  5.05288185  5.15749069  7.25950774
  7.9060216   5.17309151  5.05930051  5.10467392  5.17309151  5.10685402
  5.16639452  5.37941637  5.1464017   5.10685402  6.73364968  5.11559224
  5.          6.3799175   6.63859588  5.17309151  5.05930051 10.
  5.15304966  5.14418933  6.15053748  5.10685402  5.00628899]"
2,3427,10,"[10.          5.53312357  8.89264584  8.53211853  5.49419052  5.49973708
  8.38471248  5.50528873  5.09238509  5.50528873  5.49973708  5.00509254
  5.49973708  5.32474945  5.49973708  7.91010145  7.61971101  5.19684215
  5.53312357  5.49973708  5.          7.44108023  6.32875841  5.32474945
  5.01018976  5.02550954  5.10274468  8.69992474  5.49973708  5.19684215
  7.31317894  5.49973708  7.42553005]"
3,3802,10,"[ 5.1194952   5.09226973  9.72014925  5.08210501  5.          5.
  5.12291066  5.1194952   5.09226973  5.1194952   5.09396622  5.09396622
  5.1194952   5.09226973  8.35927741  7.55104824  5.11437715  5.09226973
  8.80442886 10.          5.04336548  5.03666448  5.09226973  5.0770318
  5.09226973  5.09905977  5.1194952   5.09226973  5.09226973 10.
  5.09226973  5.1194952   5.00165958  5.1194952   8.80442886  5.32575576
  7.13562954  5.11437715  5.03666448  5.04001364  5.0770318   5.09226973
  5.00165958  9.04466892  5.1194952   5.1194952   8.80442886  5.00165958
  5.          5.09226973]"
4,4285,10,"[ 5.08023241  7.61047005  7.45946436  5.00812417  5.04703982  5.02853876
  5.03674644  5.          7.45946436  5.03674644  5.03058843  8.05112778
  6.97256017  5.24109999  7.72237825  5.01627212 10.          5.0142329
  5.00812417  5.00812417  5.04085928  5.04497813  5.04703982  5.04085928
  5.04703982  5.01627212  5.03880211  5.04085928  5.00812417  7.09926119
  5.02239872  5.00812417  5.02853876  5.04703982  7.61047005  5.03058843
  7.2446472 ]"
5,496,10,"[ 5.09711854  5.05602423  7.43730341  5.          5.05602423  5.08793109
  5.05602423  7.59975994  5.05602423  5.05602423  5.          5.
  5.09022497  5.05602423  5.          5.05602423  7.34055154  6.64900578
  6.9592669   5.          5.          5.03346905  5.05602423  6.41669194
  5.          5.03346905  5.         10.          9.78698191  5.30253681
  5.03571579  5.          6.84208973  6.69289023]"
6,2797,10,"[ 5.03089516  5.0172895   5.01352182  9.87538659  5.00900728  8.35348576
  5.01653556  5.01427495  5.01276889  5.0172895   5.00900728 10.
  8.13447317  8.47475114  5.01352182  7.48475574  5.01653556  5.0172895
  5.01578182  5.0172895   5.0172895   8.35348576  5.0172895   5.00900728
  5.01276889  5.0172895   7.45300332  5.00900728  5.0007495   5.0172895
  7.89769491  5.01276889  5.          5.00900728  5.0172895   5.0172895
  5.01578182  8.47475114  5.01653556  5.00900728  5.01653556  5.
  5.0172895   5.01578182  5.01276889  5.0172895   5.0007495   5.01578182
  5.          5.0172895   5.0172895   5.01653556  5.01578182  5.12408377
  5.0172895   5.0172895   5.01578182  5.01578182  5.0172895   5.01578182
  5.01578182]"
7,5668,10,"[ 5.20609926  5.15712116  7.64578118  5.06564226  5.05393806  7.19187642
  5.13696884  7.19187642  5.15307876  5.42867801  5.16116954  5.11298198
  5.10503355 10.          5.14098739  6.71192852  5.06955522  7.23886558
 10.          6.41014441  7.19187642  5.          5.00381578  5.
  5.10106815  6.17421119]"
8,377,10,"[ 5.02943326  5.01376909  9.91360593  5.02943326  5.02943326  5.02021141
  5.02021141  5.02943326  5.02021141  5.02758714  5.          5.02758714
  5.03035664  5.03035664  5.02758714  5.03128025  9.74935759  5.02758714
  8.84716596  5.02666441  5.          5.02021141  5.03035664  5.02666441
  5.02758714  5.03035664  5.02943326  5.02943326 10.          5.01560866
  5.02943326  5.02758714  5.02021141  5.02943326  5.          8.19664826
  9.74935759  5.01468876  5.01468876  5.02758714  5.02943326  5.01468876
  5.02943326  5.01468876  5.03128025  5.02666441  5.02021141  5.02943326
  5.03035664  5.          5.02758714  9.25119005  5.01284962  5.02021141
  5.02021141  8.79562703  5.03035664  5.01284962  5.02666441  5.02758714
  8.12629296  5.16658782  5.02758714  9.74935759  5.        ]"
9,703,10,"[ 5.02177664  5.01421996  5.01463926  5.00710121  5.01505862  5.00710121
  5.01505862  5.01421996  5.01421996  5.          5.01463926  5.
  5.01421996  5.00710121  5.          5.          5.01421996  5.01505862
  5.          5.01421996  5.01463926  5.01463926  5.01421996  8.84855666
  5.00710121  5.01421996  5.01421996  5.01421996  5.01547804  5.01421996
  5.01421996  5.01505862  5.01463926  5.01421996  5.09283523  5.01505862
  5.01421996  5.01547804  5.          8.01416961  5.01505862  5.01421996
  5.01505862  5.01505862  5.01505862  5.01505862  5.01421996  5.01505862
  8.84855666  8.74003401  5.00710121  5.01547804  5.01505862  5.01421996
  5.00710121  5.01505862  5.01421996  5.00710121  5.01421996  5.01421996
  5.01505862  5.01505862  5.01505862  5.00751947  8.01416961  5.00710121
  5.00835618  8.74003401  5.01421996  5.01421996 10.          5.01421996
  8.74003401  7.52254316  5.01421996  8.74003401  5.00710121  5.01421996
  5.01421996  5.01505862  5.          5.01421996  5.00710121]"
10,1601,10,"[10.          5.33268328  5.08813843 10.          5.17425414  5.08813843
  9.67815958  5.17974082  7.05153565  9.67815958  5.17974082  5.55173194
  6.53835516  6.26977301  9.67815958  5.01019375  9.67815958  5.01019375
  9.67815958  5.          5.01019375]"
11,89,10,"[ 8.83219969  5.03135554  5.03748171  5.0173887   5.03223012  5.00607723
  5.03135554  5.01042392  5.01042392  5.0173887   5.01042392 10.
  5.02436589  8.88261282  5.02436589  5.02174799  5.02174799  5.02262043
  5.          5.02174799  5.01042392  5.02349306  5.01042392  5.01042392
  5.02174799  5.01042392  5.0173887   5.01042392  5.03748171  5.02523892
  5.01042392  8.2792657   5.03748171  9.40402107  5.0173887   5.03135554
  5.03135554  5.01042392  5.03748171  5.03223012  8.10722374  5.
  5.03223012  5.01042392  5.01042392  5.03748171  5.17198442  5.02349306
  5.02349306  5.03748171  5.03748171  5.0173887   5.01042392  5.02262043
  5.01042392  5.01826017  8.59864418  5.01042392  7.89504146  7.50588705
  5.03748171  5.03748171  5.01042392  5.01042392  8.2792657   5.02262043
  5.00607723]"
12,4992,10,"[ 5.70469718  5.48012675  8.26789194  5.1967711   5.45334104  5.46478667
  7.24086267  6.62690204  5.4495371   6.33797075  5.4495371   5.
  5.10605998  5.46861319  5.1967711   5.46861319  6.16165087  6.31554432
  5.18651224 10.          9.00540094  5.4495371   6.05900127  6.05307918
  5.18651224  5.45334104]"
13,2617,10,"[ 5.21747276  9.77104959  5.11704449  5.         10.          5.11704449
  9.77104959  5.          5.15189034  5.11704449  5.09847567  5.15459037
  5.15459037  9.77104959  5.          7.41903066  5.          5.38583311
  5.11704449  9.77104959  5.11704449  6.9690392   6.74444127  5.11704449
  5.14649871  5.10376725  5.10112008  6.39296884  5.04875111  6.1872666
  5.04616116]"
14,807,10,"[10.         10.          5.         10.         10.          5.37004076
 10.         10.         10.         10.         10.         10.        ]"
15,5122,10,"[ 5.02584303  5.00107204  5.13387884  8.14875123  5.         10.
  8.14875123  5.          5.00321735  5.00107204  5.00321735  5.00107204
  9.85166478  5.00214449  5.00214449  5.          5.00107204  5.
  5.00107204  5.00214449  9.85166478  5.00214449  9.85166478  5.
  5.00107204  5.00214449  5.00107204  9.85166478  5.00107204  5.00321735
  8.08814402  5.00107204  5.00214449  5.00107204  8.27733661  5.00321735
  5.00321735  5.          5.00107204  5.00107204  5.00107204  5.00321735
  5.00321735  5.          5.00214449  5.00214449  8.14875123  5.00107204
  5.          5.00321735  5.00214449]"
