,bIDs,heat
0,0,10
1,1,10
2,3,10
3,4,10
4,5,10
5,6,10
6,7,10
7,10,10
8,11,10
9,12,10
10,13,10
11,14,10
12,17,10
13,18,10
14,19,10
15,21,10
16,24,10
17,30,10
18,31,10
19,32,10
20,33,10
21,34,10
22,36,10
23,37,8
24,40,10
25,41,10
26,43,10
27,46,10
28,47,10
29,50,10
30,51,10
31,52,10
32,53,10
33,54,10
34,55,10
35,57,10
36,58,10
37,60,10
38,61,10
39,65,9
40,67,9
41,69,10
42,70,10
43,71,10
44,72,10
45,73,10
46,74,10
47,77,10
48,79,10
49,80,10
50,82,10
51,83,10
52,84,10
53,85,10
54,86,8
55,89,10
56,90,10
57,92,10
58,93,10
59,94,10
60,95,10
61,96,10
62,97,10
63,98,10
64,99,10
65,100,10
66,101,8
67,102,10
68,104,10
69,105,10
70,108,10
71,109,10
72,110,10
73,112,10
74,113,10
75,114,10
76,115,10
77,116,10
78,117,10
79,118,9
80,119,10
81,120,10
82,121,10
83,123,10
84,124,10
85,125,10
86,126,10
87,128,10
88,131,10
89,132,10
90,133,10
91,134,10
92,136,10
93,137,10
94,138,10
95,139,10
96,140,10
97,144,10
98,145,10
99,149,10
100,151,10
101,154,10
102,156,10
103,157,10
104,158,10
105,161,10
106,162,10
107,163,10
108,164,10
109,167,10
110,168,10
111,169,10
112,171,10
113,172,10
114,174,10
115,175,10
116,176,10
117,177,10
118,178,10
119,180,10
120,181,10
121,182,10
122,184,10
123,185,10
124,186,10
125,188,10
126,191,10
127,192,10
128,193,10
129,194,10
130,196,10
131,198,10
132,199,10
133,201,10
134,205,10
135,206,10
136,207,10
137,208,10
138,209,10
139,212,10
140,214,10
141,216,10
142,217,10
143,219,10
144,220,10
145,221,10
146,222,10
147,224,10
148,225,10
149,226,10
150,227,10
151,232,10
152,233,10
153,234,9
154,235,10
155,236,10
156,237,10
157,238,10
158,239,10
159,240,10
160,241,10
161,242,10
162,244,10
163,245,10
164,246,10
165,247,10
166,248,10
167,249,10
168,251,10
169,252,10
170,253,10
171,254,10
172,255,10
173,256,10
174,259,10
175,260,10
176,261,10
177,262,10
178,263,10
179,264,10
180,265,10
181,266,10
182,267,10
183,268,10
184,271,10
185,273,10
186,274,10
187,275,10
188,276,10
189,277,10
190,279,10
191,280,10
192,282,10
193,283,10
194,284,10
195,285,10
196,287,10
197,288,10
198,291,10
199,292,10
200,293,10
201,296,10
202,298,10
203,299,10
204,300,10
205,301,10
206,302,10
207,304,10
208,305,10
209,307,10
210,309,10
211,310,10
212,311,10
213,312,10
214,315,10
215,316,10
216,317,10
217,319,10
218,320,10
219,322,10
220,323,10
221,324,10
222,325,10
223,327,10
224,328,10
225,331,10
226,332,10
227,333,10
228,334,10
229,335,10
230,336,10
231,337,10
232,338,10
233,339,10
234,340,10
235,341,10
236,343,10
237,344,10
238,346,10
239,347,10
240,348,10
241,349,10
242,353,10
243,354,10
244,355,10
245,357,9
246,358,10
247,360,10
248,361,10
249,363,10
250,365,10
251,367,10
252,369,10
253,370,10
254,372,10
255,373,10
256,374,10
257,375,10
258,377,10
259,378,10
260,380,10
261,381,10
262,382,10
263,383,10
264,385,10
265,386,10
266,389,10
267,390,10
268,391,10
269,392,10
270,394,10
271,395,10
272,396,10
273,397,10
274,398,10
275,399,10
276,401,10
277,402,10
278,403,10
279,404,10
280,405,10
281,406,10
282,409,10
283,410,10
284,411,10
285,412,10
286,413,10
287,414,10
288,416,10
289,418,9
290,419,10
291,420,10
292,424,10
293,425,10
294,426,10
295,427,10
296,428,10
297,430,10
298,432,10
299,433,10
300,435,10
301,436,10
302,437,10
303,438,10
