Corpus ID,S2 ID,name,fields_of_study,topics,refID,refNames
204199721,3e209bf71e6373256d4060bf803842d8526224cb,Research on enterprise management integration mechanism and information platform by internet of things,"['Business', 'Computer Science']",['Internet of things'],3ad16dfc7887b1d64ca4aa50ce597cb9e00e8bd4 #;# e2e4ff38cb02c325a606d415705d6b7d7011b07b #;# e15bd081c2d56afabb68938f31c6aa477845d0ef #;# 1e22213238b061c3ec1e63eeb3b66a3adc917dce #;# c568a7768bcb3d97813b9c6be126438d8769b177 #;# 7b284492153407ef6707c954326335dbce397c84 #;# e7c8fcbc24c73a576339e5f34f9f23f5ea732b3b #;# 5b1549fb35a768f0c77154327d439a4d2f535df8 #;# 328ff9a0a3de5aa4febfba1e041c811fe5794280 #;# d4b257d3d8dc5c1892efb8135aeefa9e864bf511 #;# d080fb7c7cd1bf65be60ec9cd47dd44fca0abb66 #;# 69e20ea0a5d861cf09e1e038f5fe101ba638b586 #;# 8beccbdc61f62cae79ba820031cb53b886b5f9c7 #;# a09bce41b7783e86aa5540c24a90497d772719a2 #;# cb7bc9645b8454a567fca764bb38ff987f0c19c0,"Internet of Things: A primer #;# State-of-the-art, challenges, and open issues in the integration of Internet of things and cloud computing #;# An Integrated System for Regional Environmental Monitoring and Management Based on Internet of Things #;# Enterprise information systems state of the art: Past, present and future trends #;# Probabilistic Model for M2M in IoT networking and communication #;# Cooperative Cognitive Intelligence for Internet of Vehicles #;# Creating Strategic Business Value from Big Data Analytics: A Research Framework #;# Smartbuddy: defining human behaviors using big data analytics in social internet of things #;# Product whole life-cycle and omni-channels data convergence oriented enterprise networks integration in a sensing environment #;# A survey on Internet of Things architectures #;# The internet of things: a survey #;# Development of an Ecosystem Model for the Realization of Internet of Things (IoT) Services in Supply Chain Management #;# Industry 4.0: A Survey on Technologies, Applications and Open Research Issues #;# Internet of Things: A systematic review of the business literature from the user and organisational perspectives #;# Essential Micro‐Foundations for Contemporary Business Operations: Top Management Tangible Competencies, Relationship‐Based Business Networks and Environmental Sustainability"
2922230,1d4be68d4022bf46978d2249e7ee3187d6ff580f,Unsupervised Spectral Learning of Finite State Transducers,"['Computer Science', 'Mathematics']",['Finite-state transducer'],,
42260382,b686090762f56b6a48b46ae98b6064331ed82a74,Taxonomy of Pathways to Dangerous Artificial Intelligence,['Computer Science'],"['Artificial intelligence', 'Self-awareness', 'Book']",9a37a40b8d525f079dbec2dfd748cefa859a9d33 #;# 274c17084e5373a854b13a39c45d072e2b09970e #;# 297a1c779a0392d47942c972384935d18727a7b0 #;# 8ff573f5223b45037fadb4d6b590992b59b15a72 #;# afc995a85c2cc3098a8963c52814224bfac518ee #;# d8033a314493c8df3791912272ac4b58d3a7b8c2 #;# 2b1f2b906c23444e38e95d40779377db6ac51bb6 #;# 9292afd24ff65d4c0368fa9529e08dbf5c0a356b #;# 36b70e36ee079b6078e619c86342ed7932657cc5 #;# 82cadd799ac24371fa3a74dbaee92cd4fe1f41a8 #;# e3c775129c9a8633b1e331f9193acc69f2f48fac #;# fb6eefc6a42fbbf286476e435d87eacb99a9a047 #;# 7bba95b3d145564025e26b49ca67f13f884f8560 #;# 9d9b1fc936a8cfdc32f8a9ea8e6256f7f3902835 #;# 5da022dae854175234e7cd1164b89f827c786b1f #;# 7189f82fb16b35ac630446179320b12d4a642345 #;# c77a1202cc6e1342c287d62ee6e6a80aa401ded8 #;# 0890ec1b4a26b133c3d456317b29fb35416751d0 #;# 7d08f14c5b192f9b4eb71b6946e462a0bd9f756a #;# b2012ac7cd3d78d4c49b20fab53f7fd4b6b63b50 #;# f4a3e5828e0aab7f22207a889c2664b81deb2741 #;# cd4c3cbfd448b061b72d9d47f181c46aae892be9 #;# 7ec69c26dd77109c60f4b2de09147b611e36b96e #;# 694296536347fc896fecebb42792f1acddfeaada #;# 3647b104a83edbf33ef0408d7173de9897117df3 #;# 47657db7c6ccdfeaa98e903d84bbde523bc59bdf #;# 9542cd7f6af154fa77964ed5026e6e2bc422274d #;# d9dbe8c4b748c883608709f8c05e9c06765d6165 #;# 75309af6c82bac06b95440ad3c9499ea205422d7 #;# b4855092b186d9d3d70f413e65b5feb3e7df6eed #;# 64c8bb868e8d74e37dc35634c02471d9dcb9c045,"Leakproofing the Singularity Artificial Intelligence Confinement Problem #;# INFORMATION HAZARDS: A TYPOLOGY OF POTENTIAL HARMS FROM KNOWLEDGE #;# What Your Computer Still Can't Know: A Refutation of Bringsjord's Refutation of Searle's Refutation of Bostrom and Floridi #;# Artificial Intelligence Safety Engineering: Why Machine Ethics Is a Wrong Approach #;# Artificial Superintelligence: A Futuristic Approach #;# Aligning Superintelligence with Human Interests: A Technical Research Agenda #;# Safety Engineering for Artificial General Intelligence #;# Utility function security in artificially intelligent agents #;# The Space of Possible Mind Designs #;# The Ultimate Hacker: SETI Signals May Need to Be Decontaminated #;# Rational Artificial Intelligence for the Greater Good #;# Responses to catastrophic AGI risk: a survey #;# Superintelligence: Paths, Dangers, Strategies #;# Rational Universal Benevolence: Simpler, Safer, and Wiser Than ""Friendly AI"" #;# What to Do with the Singularity Paradox? #;# Why The Future Doesn't Need Us #;# The Maverick Nanny with a Dopamine Drip: Debunking Fallacies in the Theory of AI Motivation #;# What is a Singleton #;# Abrupt rise of new machine ecology beyond human response time #;# On the Limits of Recursively Self-Improving AGI #;# Artificial evil and the foundation of computer ethics #;# No Grice: Computers that Lie, Deceive and Conceal #;# Artificial liars: Why computers will (necessarily) deceive us and each other #;# Godseed: Benevolent or Malevolent? #;# AI safety engineering through introduction of self-reference into felicific calculus via artificial pain and pleasure #;# Linking simulation argument to the AI risk #;# How to wreck a nice beach you sing calm incense #;# Analysis of Types of Self-Improving Software #;# Cognitive illusions and the lying machine: a blueprint for sophistic mendacity #;# Complex Value Systems in Friendly AI #;# Affective Computing"
850237,90ab469425b772008f7c409972aa520f92dc7a77,Soft-to-Hard Vector Quantization for End-to-End Learning Compressible Representations,"['Computer Science', 'Mathematics']","['Quantization (signal processing)', 'Vector quantization', 'Image compression', 'Artificial neural network', 'Entropy (information theory)', 'End-to-end principle', 'Linear programming relaxation']",d2e4147eecae6f914e9e1e9aece8fdd2eaed809f #;# 7dbdb4209626fd92d2436a058663206216036e68 #;# c05212969d9438fc859897898b1de9fe3e34659f #;# 88080d28536f36588740737f3b7a1f6c1a409654 #;# 977560251c2bd4c28a6c7c707c29f4091c5e6247 #;# 4e8930ae948262a89acf2e43c8e8b6e902c312c4 #;# 642d0f49b7826adcf986616f4af77e736229990f #;# e74f9b7f8eec6ba4704c206b93bc8079af3da4bd #;# b649a98ce77ece8cd7638bb74ab77d22d9be77e7 #;# c7d220566c9668bea1e2e3df66bd399d894ff6b2 #;# 7dc9204e534a95719c639a75a89ec5d52ad1129a #;# 5f5dc5b9a2ba710937e2c413b37b053cd673df02 #;# 1ff9a37d766e3a4f39757f5e1b235a42dacf18ff #;# fd23c9168418324e81881365f297fb6a1caa3a07 #;# be97dbaf083fb59d0b1cbce7e35bf6607891cf6f #;# 554cb0e8a604701ca78f2d782f2a26119eadaa81 #;# 342ff7ab2a33a10768e852f7afc2e280f0d30474 #;# e1ec11a1cb3d9745fb18d3bf74247f95a6663d08 #;# ce6f4837bcab3f13580fcca260e0ca183574e9fd #;# 9a1ed876196ec9733acb1daa6d65e35ff0414291 #;# 6d749712ef4f02a87f4e362058469a1da46c8bcc #;# 407ead18083e68626e82e07db1a9289ff0b7e862 #;# 232148b97bd0543613ffd98fb4edcff79434ce1a #;# eae2e0fa72e898c289365c0af16daf57a7a6cf40 #;# abd1c342495432171beb7ca8fd9551ef13cbd0ff #;# 24af0e94ddae7047cf57cc0f42fd0e34a209c4aa #;# ca5766b91da4903ad6f6d40a5b31a3ead1f7f6de #;# a6cb366736791bcccc5c8639de5a8f9636bf87e8 #;# 7601b995303f953955004db7b9b8b206c0e02ff8 #;# 1b47265245e8db53a553049dcb27ed3e495fd625 #;# 9e190281cc49c07bce64d037fb24705bb9296b9b #;# 2946c4e29b057d3543f09b89f547965895676d19 #;# 2ee14dd35886c44c87d66f8490528fa58c19fc25 #;# 90657cc55e10f9e3718f96f1dacaa7f876b9ca96 #;# 03a5b2aac53443e6078f0f63b35d4f95d6d54c5d #;# 5d90f06bb70a0a3dced62413346235c02b1aa086 #;# 6c018075720da00d81938bec1c1d2cde42f19d7d #;# b80469cfabe9f4d51b7d004eb4377a65364f906a #;# 846aedd869a00c09b40f1f1f35673cb22bc87490 #;# a5733ff08daff727af834345b9cfff1d0aa109ec #;# ee6a911dcb0aa84659d703eea2f6ad8d4a7e848b #;# 2c03df8b48bf3fa39054345bafabfeff15bfd11d #;# 4c915c1eecb217c123a36dc6d3ce52d12c742614,"Quantized Neural Networks: Training Neural Networks with Low Precision Weights and Activations #;# Elements of Information Theory #;# JPEG2000 - image compression fundamentals, standards and practice #;# Using very deep autoencoders for content-based image retrieval #;# Lossy Image Compression with Compressive Autoencoders #;# Variable Rate Image Compression with Recurrent Neural Networks #;# Deep Compression: Compressing Deep Neural Network with Pruning, Trained Quantization and Huffman Coding #;# ImageNet Large Scale Visual Recognition Challenge #;# XNOR-Net: ImageNet Classification Using Binary Convolutional Neural Networks #;# Competitive learning and soft competition for vector quantizer design #;# Full Resolution Image Compression with Recurrent Neural Networks #;# Auto-Encoding Variational Bayes #;# Learning both Weights and Connections for Efficient Neural Network #;# Arithmetic coding for data compression #;# Context-based adaptive binary arithmetic coding in the H.264/AVC video compression standard #;# Multiscale structural similarity for image quality assessment #;# JPEG2000 Image Compression Fundamentals, Standards and Practice #;# Dermatologist-level classification of skin cancer with deep neural networks #;# Continuation-based learning algorithm for discrete-time cellular neural networks #;# A database of human segmented natural images and its application to evaluating segmentation algorithms and measuring ecological statistics #;# Towards the Limit of Network Quantization #;# Incremental Network Quantization: Towards Lossless CNNs with Low-Precision Weights #;# End-to-end Optimized Image Compression #;# Image quality assessment: from error visibility to structural similarity #;# ImageNet classification with deep convolutional neural networks #;# Is the deconvolution layer the same as a convolutional layer? #;# A+: Adjusted Anchored Neighborhood Regression for Fast Super-Resolution #;# Adam: A Method for Stochastic Optimization #;# Learning Structured Sparsity in Deep Neural Networks #;# ImageNet: A large-scale hierarchical image database #;# The JPEG still picture compression standard #;# Single image super-resolution from transformed self-exemplars #;# Vector quantization by deterministic annealing #;# End-to-end optimization of nonlinear transform codes for perceptual quality #;# Real-Time Single Image and Video Super-Resolution Using an Efficient Sub-Pixel Convolutional Neural Network #;# Learning Multiple Layers of Features from Tiny Images #;# Soft Weight-Sharing for Neural Network Compression #;# Improved Lossy Image Compression with Priming and Spatially Adaptive Bit Rates for Recurrent Networks #;# Mastering the game of Go with deep neural networks and tree search #;# BinaryConnect: Training Deep Neural Networks with binary weights during propagations #;# Optimizing 1-Nearest Prototype Classifiers #;# Deep Residual Learning for Image Recognition #;# Simple statistical gradient-following algorithms for connectionist reinforcement learning"
854706,34d85ecb8507184aa7d4ea26a93a08e0e06dbe27,Near-Minimax Recursive Density Estimation on the Binary Hypercube,"['Computer Science', 'Mathematics']","['Minimax', 'Recursion', 'Mean squared error', 'Sparse matrix', 'Computational complexity theory', 'Coefficient', 'Rendering (computer graphics)']",530842bc3328fac3d8fb34a735d9ee0280cc3443 #;# 81d8f911d97c0d4f5d8053adf3b1f51054d8ce85 #;# e0a038a70a860c43558bec895b3aee13d6b99a0c #;# 50cfd942da15ebfcefa9952335d4e6fedd6c1f52 #;# a5845b432557ea5508cdef7bf5aa53068f58e662 #;# b64e844a8af931ff1253773113341ea08e264bca #;# 89e9c539db6ffd2cb477b314a0ac8ba593473125 #;# 65f77b5c1a03ab2beb949714dd9bb37b60a8ff0c #;# a88a875f5e11a3e15016ca8def9c70bf5f0995c1 #;# a898ad13c96e5c068a2e4fc88227278e646b712e #;# 5446d19dfbb228cd15858ced5fdf7683ac328c60 #;# b8023aee2406fe246d2f2994adadf52db5a167f0 #;# e2c558f1467863238374899f44e6d466fba99f98 #;# d6cf95d389382e6640a2b800abfc5578caa2dcde #;# ffbd6c56c3c8a99bad668746cf41c34877201e55 #;# 5efe95b6603833595a19308192bb91dd577022cd #;# debfa130d31d4fee331519472a305ccb00c303b0,"Multivariate binary discrimination by the kernel method #;# Smoothing categorical data #;# On the fourier tails of bounded functions over the discrete cube #;# On the Fourier tails of bounded functions over the discrete cube #;# On Russo's Approximate Zero-One Law #;# Estimating Dynamic Panel Data Discrete Choice Models with Fixed Effects #;# Empirical Processes in M-Estimation #;# A hard-core predicate for all one-way functions #;# Minimax Bayes, Asymptotic Minimax and Sparse Wavelet Priors #;# Near-Optimal Signal Recovery From Random Projections: Universal Encoding Strategies? #;# Binary analysis and optimization-based normalization of gene expression data #;# Nonparametric iterative estimation of multivariate binary density #;# Learning decision trees using the Fourier spectrum #;# Wavelets #;# Bayesian Sets #;# Some Classification Procedures for Multivariate Binary Data Using Orthogonal Functions #;# Sharper Bounds for Gaussian and Empirical Processes"
1997402,79f40b4c767c8ae1619e8c8624fe6e272943ec01,On Semi-Supervised Classification,['Computer Science'],"['Co-training', 'Mutual information', 'Supervised learning', 'Semiconductor industry', 'Sensor', 'Benchmark (computing)', 'Expectation–maximization algorithm', 'Semi-supervised learning', 'Machine learning', 'Emoticon']",138b6767d572e84147da34dd38573b0eff5171b7 #;# 6bbc0c752570c46a772f2982728f9ad4191f25dd #;# 49b8dff62cccc26023c876460234bf29084a382f #;# 609e5cc1da126d7f760d1444b43b4fae41602841 #;# a9e0444b694a804a9088a622a6123e10a04430ae #;# 900b91537bc6062a94fe1a5dbbba73476e175c77 #;# 3e0e337b477e0c226da00eae03fd29882275a469 #;# a8797f1d253c75669d96e6fcceda2be3f8534e1d #;# 278841ab0cb24c1abcb75e363aeed1fa741c8cc4 #;# 8b4a99762d33927e4db312082f9552cce1df9182 #;# d68725804eadecf83d707d89e12c5132bf376187 #;# fda1bad1834e870b97cfa4460947bdd9be888471 #;# 74b1a9e50f18af8a7b9f8dd38f40e0466ad7a8e8 #;# f04fdd5da07b0950692cf8982bef844702286f4a #;# 7de4569c7353030fec21bbb38c06323dd69f777c #;# 38a49f2d906b48a36ab4baca448298666a9ec259,Semi-supervised learning : from Gaussian fields to Gaussian processes #;# Cluster Kernels for Semi-Supervised Learning #;# Transductive Learning via Spectral Graph Partitioning #;# Less is More: Active Learning with Support Vector Machines #;# Optimization Transfer Using Surrogate Objective Functions #;# Adaptive Sparseness Using Jeffreys Prior #;# What are “ A ” and “ B ” ? #;# Support Vector Machine Active Learning with Applications to Text Classification #;# Combining labeled and unlabeled data with co-training #;# Combining active learning and semi-supervised learning using Gaussian fields and harmonic functions #;# Sparse Bayesian Learning and the Relevance Vector Machine #;# Semi-supervised Learning by Maximizing Smoothness #;# Transductive Inference for Text Classification using Support Vector Machines #;# Multinomial logistic regression algorithm #;# On Information Regularization #;# Using manifold structure for partially labelled classification
1618443,9e8cd54b36c6996d63f089680d5b67af86b2c673,An association network for computing semantic relatedness,['Computer Science'],"['Semantic similarity', 'Wikipedia', 'Cognition', 'Algorithm', 'Computation', 'Neural coding', 'Microsoft Windows', 'Sparse matrix', 'LU decomposition', 'Benchmark (computing)']",0e3e3c3d8ae5cb7c4636870d69967c197484d3bb #;# 58331d76610488c64ce104fbc361e30d8f0f8704 #;# 1f795a340bba303dcdfdd65dd4d249e0a3527c24 #;# cc0c3033ea7d4e19e1f5ac71934759507e126162 #;# 1a8c33f9e51ba01e1cdade7029f96892c7c7087b #;# 3bb64bc9ba15333a54c0368ab9ee8d58c510984e #;# df38f800b64f8bfcdce72a061748b2864eba0bda #;# 9fe06134f82b7a6e80340ab941ab34e0622b7f6d #;# a9fee459ed211f53bfadef22e3ab774d0e927358 #;# b634fd794c9a0e54730f60f1111850161c754b3f #;# ed330eda90cea0e10e69e4f875a4baf7cee5705b #;# e0c01df98a6b633b25c96c1a99b713ac96f1c5be #;# 5079c42cb329f70a4f2b94fd429ea8d35a043f56 #;# 7f46794ad87164fccca5e31218fc5243c5ecb12e #;# e3f93c45e6ae2ad0e836de7141d612a398215cca #;# 9cb30d759e97f80c3f566caea96b2c436684b1b9 #;# bf818b434edff9299374b079228c518e34fcd61a #;# 6b64e068a8face2540fc436af40dbcd2b0912bbf #;# 265be00bf112c6cb2fa3e8176bff8394a114dbde #;# eb0600d260c499694b96c90b970c7e2dc5ebb883 #;# d0e7a7aaa4a44fc3bf7bdb37a644b71624472ac8 #;# 0a32b3d027064798fb31ce42894fec31e834f7db #;# 68c03788224000794d5491ab459be0b2a2c38677 #;# 0c074681e891ecd764bb844666011fa41cf7c8f1 #;# 2f97744606e7feb3e1d715b669d700f646751546 #;# b95ce39dfeafbdf86dc11c377339897e52571f75 #;# 4e9c459390caef1eb116c1f2fcbe7e79717f2964 #;# 78466285abd953288db4a9832e4616e1249dba19 #;# afb180e7615fedf3479707aea9db9ee156f9406e #;# 330da625c15427c6e42ccfa3b747fb29e5835bf0 #;# e5305866d701a2c102c5f81fbbf48bf6ac29f252 #;# 98b9fdd27deca573b76374f6e9c32db8976076b7 #;# c62450a13bb6692385490dd4b371de9857761374 #;# 79f35f583ce9910d7dc5a0127d257574c60a41cb #;# aff0e7346ac75de0d1b2615e99e70d8b057f603d #;# 7038ac4463ea0e1ac08dfb7e889cbd599693cdc3,"Verb Semantics and Lexical Selection #;# Sentence similarity based on semantic nets and corpus statistics #;# A Study Of Association In Insanity #;# An Information-Theoretic Definition of Similarity #;# Large-scale learning of word relatedness with constraints #;# Word Sense Disambiguation-based Sentence Similarity #;# Text Relatedness Based on a Word Thesaurus #;# Co-Dispersion: A Windowless Approach to Lexical Association #;# Computing Semantic Relatedness Using Wikipedia-based Explicit Semantic Analysis #;# Improving Lexical Semantics for Sentential Semantics: Modeling Selectional Preference and Similar Words in a Latent Variable Model #;# Sentence Similarity based on Dynamic Time Warping #;# Placing search in context: the concept revisited #;# A Study on Similarity and Relatedness Using Distributional and WordNet-based Approaches #;# A new benchmark dataset with production methodology for short text semantic similarity algorithms #;# Lexical Chains as Representations of Context for the Detection and Correction of Malapropisms #;# RC-NET: A General Framework for Incorporating Knowledge into Word Representations #;# Roget's Thesaurus as a Lexical Resource for Natural Language Processing #;# Semantic Similarity Based on Corpus Statistics and Lexical Taxonomy #;# Using Information Content to Evaluate Semantic Similarity in a Taxonomy #;# Modeling Sentences in the Latent Space #;# An Evaluation of Factors Affecting Document Ranking by Information Retrieval Systems. #;# Evaluating WordNet-based Measures of Lexical Semantic Relatedness #;# WordNet: a lexical database for English #;# How Well Can Passage Meaning be Derived without Using Word Order? A Comparison of Latent Semantic Analysis and Humans #;# THE 1952 MINNESOTA WORD ASSOCIATION NORMS #;# Computation of Word Associations Based on Co-occurrences of Words in Large Corpora #;# Semantic Relatedness Using Salient Semantic Analysis #;# The University of South Florida free association, rhyme, and word fragment norms #;# Combining Local Context and Wordnet Similarity for Word Sense Identification #;# Efficient Estimation of Word Representations in Vector Space #;# Indexing by Latent Semantic Analysis #;# A Comparative Study of Two Short Text Semantic Similarity Measures #;# Multi-Prototype Vector-Space Models of Word Meaning #;# Roget's Thesaurus of English Words and Phrases #;# A word at a time: computing word relatedness using temporal semantic analysis #;# Semantic text similarity using corpus-based word similarity and string similarity"
86785011,82a646e1cb33124f672beba451f5039e9e32fb6d,Eidetic 3D LSTM: A Model for Video Prediction and Beyond,['Computer Science'],"['Urban computing', 'Unsupervised learning', 'Predictive learning', 'Long short-term memory', 'Pixel']",,
46508504,01a091f002ec78dadf2473cef06292e87a0bcf72,Pattern Recognition of Spastic Motion,['Computer Science'],"['Pattern recognition', 'Spastic']",90969c484c9137b5ccf6c6bce395b2f300924a8c #;# 9fd4733e4b9efb9854ec9f39aa5574e720a70138 #;# d79eeb61bc8960242550234e7a801d6863c58aec #;# 1a220476ca3f798e8146b58e31764d1134f903ac #;# 4432034f9647562cea9d997818ea9ca3610e50ca #;# e2511d51b4c218111a61469d201768f36deb2cfb #;# 5b3e242cdc153a319eeba5da11440131992bf063 #;# c2eedde81eeb9a5e22e0235960e4bf51172a1b7d #;# bd0ddd650ef5f7aca11082d13c29c6275650e335 #;# c15770851137d0c78a564d00fbf745638c687fe9 #;# 90c314d5818ed5cb6e56f442f589d91edecbd4da #;# 6dcb4d44fbbe8badcca22141e42d58abc1166144 #;# 40819f9cdef08928270fa5a429b9198919c9c5fa #;# c44ac588853d33a252041a2d6f3ec8c38e925f68 #;# 89251c8476701233e82654ba99099cfad7a59057 #;# 231344219c190042431b964b4fe7a812cda4bc02 #;# 9fe55655fcb4e3a26af38162bea6afaa48768f9b #;# c79cb8fc7bc9a711bf3484ba83b97dc7901e292f #;# dd7efe284a46fc73a1f2eb9073d3a91edc4dacfb #;# 4d27d9e001b0984634aa0154436199af04f52c20 #;# f3284743858f141017a5ca3916a17c9290c9d788 #;# a9f8ddf2fd4575bc7a8991510f8bf47ee5023205 #;# d5d4177addf8570fd38511f1be9de9b32677d54f #;# d2f6d3f2e5e1f8930fea930321c2e9c5c30082de #;# bf63080a27cbe0f18fcdd65d2ecaf680fd2f1fe0 #;# bffb8ee1e9678521308ec38768b653b7b7940a4a #;# bd51ec0c67dd2c91d96ae303f78f3cae1c2523d9 #;# 86b1bafeb5371a7b4e6d8b16938e39c8eeb1a970,"The Fuzzy Decade: A Bibliography of Fuzzy Systems and Closely Related Topics #;# Hybrid fuzzy logic PID controller #;# Fuzzy identification of systems and its applications to modeling and control #;# Analysis of nonlinear control systems #;# Incremental fuzzy expert PID control #;# Mathematical Concepts for Modeling Human Behavior in Complex Man-Machine Systems #;# Interpolation, completion, and learning fuzzy rules #;# An Algorithm to Ascertain Critical Regions of Human Tracking Ability #;# Fuzzy Mathematical Techniques With Applications #;# Successive identification of a fuzzy model and its applications to prediction of a complex system #;# Fuzzy Reasonings and Its Applications #;# Modelling human operators in control system design #;# Structure identification of fuzzy model #;# Man-machine systems;: Information, control, and decision models of human performance #;# A control engineering review of fuzzy systems #;# Elementary Differential Equations #;# Applications of fuzzy algorithms for control of a simple dynamic plant #;# Identification of membership function parameters with empirical data from a biomedical application #;# A Review of Quasi-Linear Pilot Models #;# Methods for Measuring the Characteristics of Movements of Motor-Impaired Children #;# An investigation into the comparative suitability of forearm, hand and thumb controls in aquisition tasks. #;# A phase plane approach to study the adaptive nature of a human performing a tracking task #;# Measurement and reduction of noise in kinematics of locomotion. #;# Nonlinear Control Systems #;# Control of voluntary limb movements by using a fuzzy system #;# MAKING COMPUTERS THINK LIKE PEOPLE #;# Fuzzy techniques in pattern recognition #;# Outline of a New Approach to the Analysis of Complex Systems and Decision Processes"
863211,a61a80d6a397c16e0f32f845a23b57e97e9d1bf5,An Action Research Report from a Multi-Year Approach to Teaching Artificial Intelligence at the K-6 Level,['Computer Science'],"['Artificial intelligence', 'Science', 'School', 'Vocabulary', 'Biologic Development']",17e8e0dce6cddac71f096448efb82d323ca31cee #;# 6aa9ef7cfaacbf74d8364fbb5a0fb2cd40298ebf #;# db67f1d96ec8840b2e428a2f55407054685d9605 #;# 3355e3609b99bd8b0504e3b2960ee6c9c9e87c4e #;# dbf6b942560202da8879adef54b8f20194c97ee0 #;# d203db7f6f42fe55a45a1370c9a7ef0e82d99fe5 #;# cb9f9f2768fbb5eeab699c9147d622fc68b9edac #;# 5e2cb748527990a969a7cf02234135d27dd5443b #;# afe77903e6e261be377f905cfb53ca7bc28697f4 #;# aecf01a12624754951e4523b3bc37de480faed81 #;# 17cc7c74adbe9ec72cdf36c1badb2069af692c9b,"Teaching Children to be Mathematicians vs. Teaching About Mathematics. Artificial Intelligence Memo Number 249. #;# Teacher Action Research: Building Knowledge Democracies #;# Interchanging Agents and Humans in Military Simulation #;# RoboCupJunior: learning with educational robotics #;# Agents of Change: the Impact of Intelligent Agent Technology on the Analysis of Air Operations #;# Teaching AI and Philosophy at School ? #;# Why Minimal Guidance During Instruction Does Not Work: An Analysis of the Failure of Constructivist, Discovery, Problem-Based, Experiential, and Inquiry-Based Teaching #;# Thinking Quickly: Agents for Modeling Air Warfare #;# LEGO MindStorms: not just for K-12 anymore #;# How people learn: Brain, mind, experience, and school. #;# Using Intelligent Agents in Military Simulation or ""Using Agents Intelligently"""
